p,q,aic,bic,stable,intl_block_p,lb_pvalue,lb_lag,n_obs,train_lb_pass,train_intl_pass
59,7,673.1239792612407,914.0626038339542,False,6.315224108023604e-27,,31,156,False,True
35,30,676.2209642735379,914.1097328390018,False,9.582736282080375e-34,,31,156,False,True
8,43,718.9619702697539,914.1527547337244,True,5.294315291612323e-41,6.313597017277793e-05,13,156,False,True
9,53,685.7528318036526,914.492032347368,True,1.5371100080605029e-47,0.00522162425541718,14,156,False,True
58,5,682.7695550077779,914.5586115587427,False,3.5629404493642656e-30,,31,156,False,True
4,30,771.2216595116163,914.5648918523445,True,1.668981965555637e-37,2.2056170711099837e-06,9,156,False,True
38,22,691.9936836943643,914.6331722235805,True,3.063528437709253e-26,,31,156,False,True
43,20,682.8466714786848,914.6357280296496,False,6.080679362122589e-31,,31,156,False,True
59,4,682.9214422455337,914.7104987964985,False,3.5437525264241594e-29,,31,156,False,True
50,17,670.7712065486622,914.7596871286253,False,2.8526852234899533e-33,,31,156,False,True
39,21,692.1892546254846,914.8287431547008,True,1.1576865877681524e-26,,31,156,False,True
31,35,673.9192953270066,914.85791989972,False,1.7119562346150863e-42,,31,156,False,True
60,6,673.9264602204232,914.8650847931367,False,2.2927667321695524e-29,,31,156,False,True
55,14,664.7956487203296,914.8838413147917,False,3.374395640078633e-31,,31,156,False,True
23,39,686.2057134445317,914.944913988247,True,3.0182106591163825e-36,0.017908341057499583,28,156,False,True
28,39,671.1466581064303,915.1351386863934,False,6.137108849690365e-47,0.02461813331011804,31,156,False,True
58,1,695.6048265525202,915.1944590744869,False,5.556446012183078e-29,,31,156,False,True
12,53,677.3093730958205,915.1981416612845,True,2.1695341406216055e-45,0.00540693816937482,17,156,False,True
37,23,692.592190572318,915.2316791015342,True,1.6266930819207696e-26,,31,156,False,True
45,20,677.3952484643579,915.2840170298218,False,5.316082133780936e-33,,31,156,False,True
59,9,668.2743759282846,915.312712515497,False,1.0372961618037826e-26,,31,156,False,True
24,40,680.4821003639945,915.3210129222089,False,5.814551041687065e-37,0.002730808150472049,29,156,False,True
37,28,677.4775643062028,915.3663328716667,False,8.341501089997558e-33,,31,156,False,True
33,34,671.4056496563771,915.3941302363401,False,1.0830413006707675e-35,,31,156,False,True
44,21,677.5659497817057,915.4547183471697,False,3.661915773524398e-35,,31,156,False,True
60,8,668.4924321620663,915.5307687492788,False,4.524550824985792e-26,,31,156,False,True
2,0,869.8052066941493,915.5530468028924,True,1.6501649230892406e-09,1.3114792136386923e-08,8,156,False,True
57,11,668.5633030472516,915.6016396344639,False,4.679767646661202e-29,,31,156,False,True
22,40,686.8978407735647,915.6370413172799,True,5.5528115316796695e-37,0.027148059263627098,27,156,False,True
53,16,665.5546773778431,915.6428699723051,False,3.545007244986174e-33,,31,156,False,True
58,10,668.6172820746094,915.6556186618219,False,1.3939030824274865e-27,,31,156,False,True
10,47,702.173443911035,915.6633644185026,True,1.7058546846141893e-44,0.035971244961396254,15,156,False,True
59,2,690.0387470812849,915.7280916177506,False,1.3881384609699638e-25,,31,156,False,True
36,29,677.8479866962036,915.7367552616676,False,1.372597682091241e-32,,31,156,False,True
8,44,717.500297104301,915.740937575521,True,2.9267936722074495e-44,0.0001908342959240232,13,156,False,True
9,49,699.2146623093835,915.7544388241006,True,1.597594710183661e-49,0.02188325648032269,14,156,False,True
40,21,690.1077965289772,915.7971410654429,True,6.3048993961289976e-27,,31,156,False,True
27,37,681.0548153688201,915.8937279270344,False,6.720651046302251e-41,0.005400872837769649,31,156,False,True
49,18,671.9276678666712,915.9161484466342,False,2.5865746029952785e-35,,31,156,False,True
8,45,714.7219722263839,916.0124687048533,True,2.0654590678503032e-48,0.0002412096800174795,13,156,False,True
52,17,665.9722002679082,916.0603928623702,False,1.2328287027637616e-34,,31,156,False,True
25,40,678.2160024517427,916.1047710172066,False,6.467829307037889e-43,0.002837863339402986,30,156,False,True
32,34,675.1746025251733,916.1132270978867,False,7.825239916307147e-35,,31,156,False,True
34,34,669.1220193354998,916.1603559227123,False,3.8038575100654175e-38,,31,156,False,True
39,25,681.3795490831524,916.2184616413667,False,7.75117660064338e-32,,31,156,False,True
38,26,681.415987466104,916.2549000243183,False,7.121120175592976e-31,,31,156,False,True
47,19,675.3421337611969,916.2807583339104,False,1.4923480387706749e-34,,31,156,False,True
5,30,769.9471003554293,916.340188703407,True,2.716543356222648e-36,1.3185429351341292e-07,10,156,False,True
30,37,672.352666722205,916.3411473021679,False,1.9627454228805392e-45,0.0021814819383439493,31,156,False,True
9,48,702.8579227687965,916.347843276264,True,2.7509715577257536e-45,0.03305271121048539,14,156,False,True
46,20,675.4903554679722,916.4289800406857,False,8.361065196993384e-35,,31,156,False,True
37,27,681.5955485464942,916.4344611047086,False,2.1142382821064927e-30,,31,156,False,True
0,5,861.6137927961774,916.5112009266691,True,6.663489723460936e-20,2.1831941609435576e-15,8,156,False,True
34,32,675.58709824266,916.5257228153735,False,6.700389479817344e-35,,31,156,False,True
33,33,675.6286722178345,916.567296790548,False,1.346172353932398e-35,,31,156,False,True
42,21,684.8772441512624,916.6663007022272,False,2.999329921403001e-29,,31,156,False,True
26,39,678.8312302640466,916.7199988295105,False,1.0198876330696552e-44,0.004643769314709067,31,156,False,True
51,18,666.6607442731204,916.7489368675824,False,1.0967317413744666e-34,,31,156,False,True
3,30,776.4870515475961,916.7804278810748,True,1.9653972396149227e-45,0.007403600382903008,8,156,False,True
21,41,688.0807672008302,916.8199677445455,True,4.185815357891161e-39,0.039003457397691295,26,156,False,True
20,42,688.096622159735,916.8358227034503,True,1.852811550421704e-40,0.007924581018196876,25,156,False,True
12,50,688.1568693743759,916.8960699180911,True,6.882462841569752e-50,0.08168967968826946,17,156,True,True
54,16,663.7940726296952,916.9321212314069,False,1.314600748079043e-32,,31,156,False,True
7,29,767.6040008127128,917.0469451679401,True,9.444634218231132e-36,8.567803569835646e-09,12,156,False,True
56,13,666.9722839429794,917.0604765374414,False,3.994088649400947e-28,,31,156,False,True
31,36,673.1159370379646,917.1044176179275,False,4.906467287737677e-43,,31,156,False,True
6,30,767.6914394601197,917.1343838153471,True,6.65234159204459e-36,6.038149455488969e-07,11,156,False,True
13,52,679.3564272246897,917.2451957901536,True,6.513169653941853e-43,0.011522377864022873,18,156,False,True
11,47,700.7191617852945,917.2589383000117,True,6.919745352232882e-43,0.01758996042019345,16,156,False,True
60,3,685.4752723337542,917.264328884719,False,5.440936044268593e-29,,31,156,False,True
48,18,676.3639992981434,917.3026238708569,False,2.3509287279748393e-33,,31,156,False,True
14,47,691.6590271964967,917.3483717329625,True,6.711852437817766e-41,0.07917593365578006,19,156,True,True
57,12,667.3167645564099,917.404957150872,False,1.3620526272021511e-27,,31,156,False,True
29,0,789.3211819183999,917.4151342228805,True,7.100283327947446e-17,5.4441822545177856e-08,31,156,False,True
13,48,691.8722072943987,917.5615518308643,True,1.3778393104833482e-45,0.09695490185355753,18,156,True,True
18,44,688.8707367016491,917.6099372453643,True,7.17996515908306e-42,0.0020747629876281203,23,156,False,True
33,35,670.6853898876714,917.7237264748837,False,1.1452840521484009e-36,,31,156,False,True
55,15,664.88347002652,918.0215186282317,False,5.439399912211973e-32,,31,156,False,True
9,54,686.3581299958868,918.1471865468516,True,1.350936444262578e-47,0.007530634996203249,14,156,False,True
2,14,829.758434708571,918.2042589188076,True,5.127672536927308e-29,1.0101881071575709e-17,8,156,False,True
32,35,674.2943255117667,918.2828060917298,False,6.251519229369579e-36,,31,156,False,True
13,49,689.5736275646974,918.3128281084128,True,1.0537720975658395e-47,0.1151198201653097,18,156,True,True
16,47,686.7063019787479,918.4953585297127,True,5.087373825224501e-44,0.001404190114263517,21,156,False,True
17,46,686.7190605345133,918.5081170854781,True,7.884812964048839e-44,0.0009974777317084441,22,156,False,True
31,0,784.3376127135301,918.5312770325097,True,1.115988332793175e-16,,31,156,False,True
18,45,686.7731455804924,918.5622021314572,True,4.311889539395666e-43,0.001402191607570887,23,156,False,True
19,43,689.827760923054,918.5669614667693,True,1.1156588269459124e-43,0.002199671560062732,24,156,False,True
27,39,677.6341820951068,918.5728066678203,False,2.80429269573837e-45,0.007221280431191327,31,156,False,True
9,50,699.0179769371118,918.6076094590785,True,2.2130209290515375e-49,0.03065272903882869,14,156,False,True
30,38,671.5739408862164,918.612277473429,False,8.243075050215954e-46,0.001642425855801441,31,156,False,True
39,24,686.8779066309801,918.6669631819449,True,2.8955434314091433e-29,,31,156,False,True
10,52,689.9874657943233,918.7266663380385,True,6.231117648484423e-44,0.004034105435680277,15,156,False,True
15,47,690.0284727019363,918.7676732456516,True,2.1789732047642124e-43,0.016147976708187132,20,156,False,True
35,31,677.8359985713134,918.7746231440269,False,2.0600719887498348e-33,,31,156,False,True
40,25,680.9045606040056,918.7933291694695,False,7.30034850628746e-32,,31,156,False,True
42,25,674.8320435807884,918.8205241607513,False,8.282298507984762e-33,,31,156,False,True
29,39,671.8003676992172,918.8387042864297,False,1.4880753587717148e-46,0.004409173480094015,31,156,False,True
50,18,671.8672287539559,918.9055653411684,False,4.098656398344131e-34,,31,156,False,True
1,13,836.6619505171448,919.0080627128823,True,1.8730255980784056e-27,2.4298336711513024e-23,8,156,False,True
36,30,678.1014597507881,919.0400843235016,False,4.3444650356107816e-32,,31,156,False,True
41,21,690.3257544704331,919.0649550141484,True,8.34048595552494e-28,,31,156,False,True
60,7,675.1219704361586,919.1104510161215,False,8.359134610633816e-29,,31,156,False,True
51,19,665.9796570254805,919.117705627192,False,2.912754421944742e-34,,31,156,False,True
12,54,678.2196956090688,919.1583201817823,True,6.109552194794854e-46,0.0053772984399584525,17,156,False,True
