기간,휘발유(95RON),휘발유(92RON),등유,경유(0.001%),경유(0.05%),고유황중유(180cst/3.5%),나프타
08년12월15일,44.74,42.43,61.82,,64.49,38.91,34.07
08년12월16일,44.4,42.01,60.54,,63.89,38.22,31.22
08년12월17일,46.32,43.83,62.57,,65.8,38.74,32.14
08년12월18일,46.74,44.25,61.01,,64.76,37.51,32.46
08년12월19일,45.46,42.69,59.97,,62.58,35.92,32.79
08년12월20일,,,,,,,
08년12월21일,,,,,,,
08년12월22일,45.29,42.54,59.25,,61.15,36.36,32.72
08년12월23일,40.21,38.0,57.24,,58.43,33.9,30.78
08년12월24일,38.91,36.29,55.98,,57.35,32.95,31.13
08년12월25일,,,,,,,
08년12월26일,,,,,,,
08년12월27일,,,,,,,
08년12월28일,,,,,,,
08년12월29일,39.12,36.64,55.22,,56.65,32.48,31.92
08년12월30일,39.46,36.98,54.81,,56.28,33.77,33.1
08년12월31일,39.38,36.91,54.3,,56.07,31.72,30.83
09년01월01일,,,,,,,
09년01월02일,45.44,42.65,57.96,,60.39,35.33,35.36
09년01월03일,,,,,,,
09년01월04일,,,,,,,
09년01월05일,47.52,44.58,60.74,,62.35,36.74,38.13
09년01월06일,50.25,47.29,65.69,,66.26,38.98,41.4
09년01월07일,50.75,47.79,69.48,,69.83,42.68,40.58
09년01월08일,46.11,43.16,64.87,,65.06,39.12,37.11
09년01월09일,47.63,44.68,63.76,,62.86,39.5,39.9
09년01월10일,,,,,,,
09년01월11일,,,,,,,
09년01월12일,47.23,44.31,61.0,,60.05,38.56,42.11
09년01월13일,47.65,44.75,59.29,,59.33,36.63,44.02
09년01월14일,51.05,48.33,62.04,,62.51,39.91,42.96
09년01월15일,53.38,50.65,59.82,,60.0,39.3,42.24
09년01월16일,56.09,53.16,61.94,,60.77,40.39,43.87
09년01월17일,,,,,,,
09년01월18일,,,,,,,
09년01월19일,54.5,51.35,59.77,,59.08,40.46,43.2
09년01월20일,53.65,50.53,55.95,,55.52,37.93,42.12
09년01월21일,55.18,51.93,55.65,,55.26,39.04,44.33
09년01월22일,58.88,55.28,56.57,,55.83,40.0,47.88
09년01월23일,56.95,52.48,55.74,,54.52,40.52,44.56
09년01월24일,,,,,,,
09년01월25일,,,,,,,
09년01월26일,,,,,,,
09년01월27일,,,,,,,
09년01월28일,55.86,51.83,56.71,,55.01,41.5,45.32
09년01월29일,56.76,52.86,58.2,,56.18,41.43,46.26
09년01월30일,59.0,55.21,59.34,,57.32,42.14,48.64
09년01월31일,,,,,,,
09년02월01일,,,,,,,
09년02월02일,59.83,56.49,59.0,,55.92,41.06,49.7
09년02월03일,57.67,54.77,55.84,,53.09,38.88,47.43
09년02월04일,57.73,54.93,54.86,,52.49,39.02,45.84
09년02월05일,58.45,55.68,55.48,,53.67,41.12,48.11
09년02월06일,59.48,56.73,56.21,,54.97,42.32,50.4
09년02월07일,,,,,,,
09년02월08일,,,,,,,
09년02월09일,59.11,56.26,54.97,,54.47,41.2,48.09
09년02월10일,59.64,56.9,55.7,,55.66,41.96,46.26
09년02월11일,60.68,58.01,53.88,,54.39,41.47,48.13
09년02월12일,62.46,59.79,54.0,,53.95,41.43,50.13
09년02월13일,65.13,62.39,54.28,,53.92,41.26,49.13
09년02월14일,,,,,,,
09년02월15일,,,,,,,
09년02월16일,63.9,60.42,53.32,,53.38,40.11,48.87
09년02월17일,61.11,57.95,52.75,,53.16,39.16,47.96
09년02월18일,55.22,52.88,49.72,,50.33,37.89,46.34
09년02월19일,54.64,51.88,48.67,,48.92,38.86,44.26
09년02월20일,54.82,52.95,50.27,,49.03,39.32,43.44
09년02월21일,,,,,,,
09년02월22일,,,,,,,
09년02월23일,55.29,53.4,49.68,,49.33,38.8,43.04
09년02월24일,53.41,51.24,48.59,,48.22,36.85,41.74
09년02월25일,53.35,51.48,49.75,,50.04,36.49,43.42
09년02월26일,54.57,52.23,51.19,,51.61,37.82,46.91
09년02월27일,55.76,53.4,51.49,,52.41,38.44,47.92
09년02월28일,,,,,,,
09년03월01일,,,,,,,
09년03월02일,53.2,52.01,50.23,,50.97,37.69,45.89
09년03월03일,48.71,48.26,46.99,,47.63,35.5,42.52
09년03월04일,51.48,50.31,48.0,,48.52,35.42,43.27
09년03월05일,53.07,51.84,49.37,,50.49,35.98,44.89
09년03월06일,50.63,49.93,47.72,,49.31,35.67,43.5
09년03월07일,,,,,,,
09년03월08일,,,,,,,
09년03월09일,51.63,51.03,49.61,,51.1,37.28,43.58
09년03월10일,49.98,49.41,48.4,,50.04,37.31,43.8
09년03월11일,47.03,46.58,49.02,,50.42,36.25,43.47
09년03월12일,46.91,45.25,47.39,,48.26,35.3,42.76
09년03월13일,52.26,50.06,50.33,,51.03,37.04,45.12
09년03월14일,,,,,,,
09년03월15일,,,,,,,
09년03월16일,50.78,49.23,47.65,,48.97,35.25,43.72
09년03월17일,53.48,52.11,49.66,,51.18,36.38,46.3
09년03월18일,56.59,54.99,53.05,,54.24,38.09,46.76
09년03월19일,57.51,56.34,54.14,,55.09,38.59,47.41
09년03월20일,57.94,57.41,57.76,,58.27,38.95,47.98
09년03월21일,,,,,,,
09년03월22일,,,,,,,
09년03월23일,58.04,57.51,59.37,,60.03,39.4,49.11
09년03월24일,59.2,58.25,61.65,,62.33,39.56,50.32
09년03월25일,59.56,58.58,62.4,,63.67,40.21,51.72
09년03월26일,61.19,60.21,62.89,,63.68,42.21,51.19
09년03월27일,60.41,59.43,62.7,,63.56,41.88,52.39
09년03월28일,,,,,,,
09년03월29일,,,,,,,
09년03월30일,57.43,56.06,59.22,,60.71,40.19,49.48
09년03월31일,56.28,55.03,57.44,,59.05,40.07,49.54
09년04월01일,57.15,55.91,56.91,,58.2,39.63,48.76
09년04월02일,57.58,56.34,58.26,,59.69,41.49,48.77
09년04월03일,59.88,58.07,60.49,,62.0,43.73,51.09
09년04월04일,,,,,,,
09년04월05일,,,,,,,
09년04월06일,62.83,61.08,62.2,,63.17,45.64,52.7
09년04월07일,61.55,59.82,60.64,,61.97,45.37,52.11
09년04월08일,60.23,58.53,58.74,,60.16,43.38,50.19
09년04월09일,62.62,60.69,61.65,,62.99,45.34,50.85
09년04월10일,,,,,,,
09년04월11일,,,,,,,
09년04월12일,,,,,,,
09년04월13일,63.96,61.59,61.06,,62.39,45.63,51.72
09년04월14일,62.98,60.61,59.9,,61.55,45.29,50.38
09년04월15일,64.18,61.55,61.42,,62.52,46.88,50.84
09년04월16일,63.97,61.33,62.33,,62.99,47.05,50.94
09년04월17일,63.59,61.26,61.09,,62.23,46.22,49.34
09년04월18일,,,,,,,
09년04월19일,,,,,,,
09년04월20일,64.34,62.19,59.69,,61.22,46.34,49.45
09년04월21일,61.76,59.51,57.07,,58.44,44.24,48.43
09년04월22일,60.68,58.43,57.49,,58.35,44.71,48.41
09년04월23일,58.96,56.71,57.61,,57.78,44.2,48.08
09년04월24일,58.1,55.8,57.44,,57.82,45.1,48.0
09년04월25일,,,,,,,
09년04월26일,,,,,,,
09년04월27일,56.36,54.29,56.88,,57.49,44.35,47.53
09년04월28일,54.8,52.55,56.37,,57.02,43.49,46.24
09년04월29일,55.99,53.74,57.5,,58.52,45.04,46.05
09년04월30일,57.05,54.8,58.07,,58.39,45.56,46.5
09년05월01일,,,,,,,
09년05월02일,,,,,,,
09년05월03일,,,,,,,
09년05월04일,60.45,58.11,59.75,,61.41,47.5,49.94
09년05월05일,63.32,60.98,60.41,,62.3,48.35,51.23
09년05월06일,63.93,61.59,61.24,,63.23,50.17,50.72
09년05월07일,65.81,63.47,64.3,,66.08,53.57,52.99
09년05월08일,67.08,64.71,64.22,,66.1,52.98,51.77
09년05월09일,,,,,,,
09년05월10일,,,,,,,
09년05월11일,66.47,63.79,63.78,,65.67,52.22,50.88
09년05월12일,66.51,63.6,64.15,,66.15,52.69,51.46
09년05월13일,66.53,63.61,64.56,,66.38,54.02,52.51
09년05월14일,66.43,63.61,62.72,,64.25,53.0,51.5
09년05월15일,69.89,66.85,64.31,,65.58,53.2,53.55
09년05월16일,,,,,,,
09년05월17일,,,,,,,
09년05월18일,68.37,64.76,61.72,,63.06,52.12,51.27
09년05월19일,70.87,67.26,64.34,,65.7,54.68,54.3
09년05월20일,71.93,68.22,64.52,,65.73,54.76,55.3
09년05월21일,70.83,67.14,65.6,,66.56,54.9,54.66
09년05월22일,70.48,66.86,65.76,,66.66,54.66,55.58
09년05월23일,,,,,,,
09년05월24일,,,,,,,
09년05월25일,69.92,66.43,64.98,,65.71,54.17,55.9
09년05월26일,69.82,66.31,64.27,,65.27,53.77,56.49
09년05월27일,72.63,69.45,66.96,,67.76,55.67,59.74
09년05월28일,73.5,70.35,67.04,,67.9,55.98,59.83
09년05월29일,76.09,73.41,69.64,,71.24,58.65,64.51
09년05월30일,,,,,,,
09년05월31일,,,,,,,
09년06월01일,76.72,74.11,72.28,,74.55,60.93,65.67
09년06월02일,75.46,73.32,73.62,,76.2,61.27,64.25
09년06월03일,75.7,74.03,75.47,,77.99,61.48,64.17
09년06월04일,76.42,74.47,73.58,,75.34,60.67,63.67
09년06월05일,79.2,76.54,74.26,,76.19,61.65,63.79
