station_id,grid_id,cell_x,cell_y,center_lon,center_lat,source_region,brand,is_self
A0000290,G500_1893_3893,946500,1946500,126.89741094,37.51850627,서울,HD현대오일뱅크,셀프
A0000292,G500_1893_3892,946500,1946000,126.89744717,37.5139997,서울,GS칼텍스,셀프
A0000293,G500_1896_3895,948000,1947500,126.914314,37.52760481,서울,SK에너지,일반
A0000294,G500_1893_3893,946500,1946500,126.89741094,37.51850627,서울,HD현대오일뱅크,일반
A0000296,G500_1923_3837,961500,1918500,127.06859784,37.26687025,경기,HD현대오일뱅크,일반
A0000297,G500_1900_3733,950000,1866500,126.94233802,36.79760119,충남,S-OIL,일반
A0000300,G500_1878_3826,939000,1913000,126.81529395,37.21609985,경기,S-OIL,일반
A0000301,G500_1956_3871,978000,1935500,127.25419176,37.42063708,경기,GS칼텍스,일반
A0000307,G500_1893_3892,946500,1946000,126.89744717,37.5139997,서울,GS칼텍스,일반
A0000308,G500_1897_3896,948500,1948000,126.91993763,37.53213931,서울,SK에너지,일반
A0000309,G500_1892_3896,946000,1948000,126.89164334,37.53199695,서울,SK에너지,셀프
A0000310,G500_1894_3892,947000,1946000,126.90310466,37.51402843,서울,HD현대오일뱅크,셀프
A0000313,G500_1896_3895,948000,1947500,126.914314,37.52760481,서울,S-OIL,일반
A0000314,G500_1897_3896,948500,1948000,126.91993763,37.53213931,서울,S-OIL,일반
A0000315,G500_1893_3897,946500,1948500,126.89726591,37.53653252,서울,GS칼텍스,일반
A0000316,G500_1898_3896,949000,1948000,126.92559652,37.53216698,서울,GS칼텍스,일반
A0000317,G500_1896_3895,948000,1947500,126.914314,37.52760481,서울,SK에너지,일반
A0000318,G500_1895_3895,947500,1947500,126.90865547,37.52757661,서울,GS칼텍스,일반
A0000319,G500_1893_3897,946500,1948500,126.89726591,37.53653252,서울,GS칼텍스,일반
A0000321,G500_1897_3896,948500,1948000,126.91993763,37.53213931,서울,S-OIL,일반
A0000322,G500_1896_3895,948000,1947500,126.914314,37.52760481,서울,S-OIL,일반
A0000323,G500_1893_3897,946500,1948500,126.89726591,37.53653252,서울,GS칼텍스,셀프
A0000324,G500_1895_3895,947500,1947500,126.90865547,37.52757661,서울,GS칼텍스,일반
A0000325,G500_1896_3895,948000,1947500,126.914314,37.52760481,서울,S-OIL,일반
A0000326,G500_1896_3895,948000,1947500,126.914314,37.52760481,서울,S-OIL,일반
A0000327,G500_1893_3897,946500,1948500,126.89726591,37.53653252,서울,SK에너지,셀프
A0000328,G500_1896_3895,948000,1947500,126.914314,37.52760481,서울,HD현대오일뱅크,셀프
A0000329,G500_1899_3807,949500,1903500,126.93427119,37.13109446,경기,SK에너지,일반
A0000331,G500_1981_3700,990500,1850000,127.39651172,36.65011859,충북,자가상표,일반
A0000332,G500_1896_3895,948000,1947500,126.914314,37.52760481,서울,S-OIL,일반
A0000335,G500_1921_3914,960500,1957000,127.05527067,37.61384787,서울,GS칼텍스,셀프
A0000336,G500_2278_3408,1139000,1704000,129.03200463,35.32412673,경남,SK에너지,일반
A0000337,G500_2027_3778,1013500,1889000,127.6545392,37.00163602,충북,GS칼텍스,일반
A0000338,G500_1882_3900,941000,1950000,126.83489525,37.54971787,서울,자가상표,일반
A0000340,G500_1904_3832,952000,1916000,126.96161648,37.24389725,경기,GS칼텍스,일반
A0000341,G500_1893_3889,946500,1944500,126.89755584,37.50047997,서울,SK에너지,일반
A0000342,G500_1897_3889,948500,1944500,126.92018176,37.50059319,서울,GS칼텍스,일반
A0000343,G500_1921_3903,960500,1951500,127.05556554,37.56427494,서울,GS칼텍스,일반
