구분,보통휘발유,자동차용경유
15년07월5주,564.47,530.78
15년08월1주,578.56,540.94
15년08월2주,562.61,518.40
15년08월3주,560.62,520.58
15년08월4주,515.04,483.30
15년09월1주,506.91,489.46
15년09월2주,541.00,535.48
15년09월3주,531.12,529.49
15년09월4주,522.43,519.72
15년09월5주,510.54,509.54
15년10월1주,542.37,535.68
15년10월2주,523.76,525.07
15년10월3주,510.31,512.26
15년10월4주,471.20,481.25
15년11월1주,488.82,505.80
15년11월2주,475.23,504.31
15년11월3주,465.26,497.63
15년11월4주,447.06,483.02
15년12월1주,441.52,476.36
15년12월2주,447.98,475.64
15년12월3주,439.70,457.02
15년12월4주,437.35,428.39
15년12월5주,411.06,389.81
16년01월1주,443.57,420.57
16년01월2주,427.95,380.67
16년01월3주,401.00,347.76
16년01월4주,388.45,328.21
16년02월1주,391.21,359.84
16년02월2주,379.48,357.86
16년02월3주,358.88,362.28
16년02월4주,384.41,389.00
16년03월1주,367.96,379.23
16년03월2주,406.70,419.23
16년03월3주,425.95,431.71
16년03월4주,431.76,433.58
16년03월5주,401.96,385.38
16년04월1주,423.34,405.01
16년04월2주,416.59,400.59
16년04월3주,417.29,410.18
16년04월4주,418.52,421.66
16년05월1주,435.10,440.26
16년05월2주,442.86,457.74
16년05월3주,455.44,474.78
16년05월4주,472.77,487.02
16년06월1주,449.25,459.85
16년06월2주,497.62,520.06
16년06월3주,480.75,512.25
16년06월4주,480.85,517.61
16년06월5주,451.77,486.58
16년07월1주,479.90,521.27
16년07월2주,456.36,506.16
16년07월3주,424.14,476.86
16년07월4주,399.17,441.48
16년08월1주,383.09,428.99
16년08월2주,400.79,437.29
16년08월3주,398.14,435.59
16년08월4주,443.52,473.35
16년08월5주,432.31,450.71
16년09월1주,460.64,472.93
16년09월2주,461.44,456.06
16년09월3주,447.70,452.58
16년09월4주,441.64,435.20
16년10월1주,473.30,473.14
16년10월2주,485.54,492.32
16년10월3주,490.92,505.33
16년10월4주,484.18,501.85
16년11월1주,481.01,499.63
16년11월2주,483.30,503.91
16년11월3주,454.06,480.63
16년11월4주,460.43,480.57
16년11월5주,468.52,485.08
16년12월1주,507.65,521.34
16년12월2주,512.19,527.23
16년12월3주,533.18,548.47
16년12월4주,549.69,565.23
17년01월1주,577.59,589.49
17년01월2주,588.03,599.63
17년01월3주,565.17,584.11
17년01월4주,534.41,535.84
17년02월1주,509.52,519.61
17년02월2주,524.65,538.20
17년02월3주,523.63,541.59
17년02월4주,560.70,575.95
17년03월1주,534.32,556.81
17년03월2주,535.57,570.67
17년03월3주,520.72,548.02
17년03월4주,497.95,517.29
17년03월5주,457.74,479.41
17년04월1주,506.82,528.12
17년04월2주,522.48,543.73
17년04월3주,532.56,551.58
17년04월4주,529.08,544.93
17년05월1주,490.96,505.13
17년05월2주,494.47,515.01
17년05월3주,489.75,506.92
17년05월4주,502.73,519.90
17년05월5주,494.44,503.25
17년06월1주,494.10,493.93
17년06월2주,479.67,480.75
17년06월3주,473.35,482.83
17년06월4주,457.55,467.10
17년07월1주,489.28,508.07
17년07월2주,473.57,506.86
17년07월3주,471.35,503.07
17년07월4주,473.51,506.12
17년08월1주,472.85,503.91
17년08월2주,511.49,544.57
17년08월3주,509.24,531.66
17년08월4주,514.28,523.12
17년08월5주,503.87,505.47
17년09월1주,535.77,525.56
17년09월2주,533.39,540.11
17년09월3주,547.52,561.36
17년09월4주,542.29,558.08
17년10월1주,556.68,570.53
17년10월2주,544.52,570.90
17년10월3주,533.90,561.01
17년10월4주,517.11,547.51
17년11월1주,524.69,559.32
17년11월2주,567.79,590.25
17년11월3주,569.60,589.28
17년11월4주,575.16,593.90
17년11월5주,564.82,582.38
17년12월1주,580.79,604.07
17년12월2주,574.85,601.97
17년12월3주,567.33,595.40
17년12월4주,560.10,574.75
18년01월1주,570.60,596.08
18년01월2주,581.89,618.91
18년01월3주,585.88,623.43
18년01월4주,571.66,612.96
18년01월5주,586.23,626.71
18년02월1주,590.32,634.75
18년02월2주,582.23,625.48
18년02월3주,571.26,614.76
18년02월4주,545.50,589.25
18년03월1주,574.20,615.90
18년03월2주,561.55,599.95
18년03월3주,561.69,602.23
18년03월4주,549.65,584.17
18년04월1주,582.83,627.58
18년04월2주,586.44,630.04
18년04월3주,589.67,636.73
18년04월4주,594.47,640.76
18년05월1주,586.11,624.58
18년05월2주,625.49,678.69
18년05월3주,630.85,681.22
18년05월4주,658.06,698.95
18년05월5주,632.33,660.22
18년06월1주,646.47,686.45
18년06월2주,629.59,671.34
18년06월3주,628.82,673.22
18년06월4주,595.22,638.39
18년07월1주,634.47,684.05
18년07월2주,644.92,693.62
18년07월3주,649.04,696.04
18년07월4주,635.86,683.95
18년08월1주,628.85,665.97
18년08월2주,653.79,701.05
18년08월3주,656.34,698.95
18년08월4주,656.74,700.18
18년08월5주,634.79,667.86
18년09월1주,673.45,721.18
18년09월2주,689.50,738.85
18년09월3주,686.58,734.42
18년09월4주,674.95,720.31
18년10월1주,681.64,730.07
18년10월2주,716.30,781.40
18년10월3주,713.70,776.69
18년10월4주,690.84,758.45
18년10월5주,661.44,732.60
18년11월1주,645.22,725.23
18년11월2주,599.44,692.29
18년11월3주,563.83,662.72
18년11월4주,487.85,592.40
18년12월1주,511.44,610.97
18년12월2주,497.88,596.05
18년12월3주,487.93,582.54
18년12월4주,466.98,557.68
19년01월1주,446.28,528.61
19년01월2주,477.53,569.05
19년01월3주,490.06,584.92
19년01월4주,498.34,594.00
19년01월5주,488.99,582.59
19년02월1주,489.55,596.44
19년02월2주,499.63,605.43
19년02월3주,509.63,612.83
19년02월4주,508.21,613.22
19년03월1주,546.40,649.46
19년03월2주,561.48,660.31
19년03월3주,570.54,654.39
19년03월4주,565.89,630.36
19년04월1주,567.85,621.32
19년04월2주,606.62,665.58
19년04월3주,631.03,672.45
19년04월4주,645.94,680.18
19년05월1주,641.08,665.81
19년05월2주,655.14,689.41
19년05월3주,636.51,682.46
19년05월4주,645.95,693.71
19년05월5주,618.88,662.23
19년06월1주,622.20,675.74
19년06월2주,571.88,630.98
19년06월3주,564.22,628.40
19년06월4주,550.62,617.99
19년07월1주,544.81,603.25
19년07월2주,593.71,653.28
19년07월3주,602.99,657.64
19년07월4주,617.84,659.12
19년07월5주,585.27,634.99
19년08월1주,590.75,657.27
19년08월2주,581.10,646.54
