p,q,aic,bic,stable,intl_block_p,lb_pvalue,lb_lag,n_obs,train_lb_pass,train_intl_pass
17,9,-4259.208277817897,-4039.273853558871,True,9.542525923101622e-09,0.14113888362104438,22,1095,True,True
15,15,-4279.166052953593,-4039.237590125564,True,1.9415905236969114e-12,0.30385146677077773,20,1095,True,True
9,18,-4264.083256825047,-4039.15032292377,True,7.445388390672172e-13,0.0010498991853876989,14,1095,False,True
9,3,-4188.80494437872,-4038.8496551112025,True,7.663046993904404e-08,0.0008095892470077616,14,1095,False,True
13,7,-4228.64041320676,-4038.6970468012373,True,1.5651542467874062e-06,0.005851290269908973,18,1095,False,True
11,3,-4198.444052303116,-4038.491743751097,True,1.0485501452780872e-07,0.05486340609840669,16,1095,True,True
10,18,-4268.329747213717,-4038.3983036701898,True,6.656664751409096e-13,0.011468139141582566,15,1095,False,True
14,16,-4278.195682271474,-4038.267219443445,True,8.710952855067146e-12,0.2380130177134093,19,1095,True,True
13,15,-4267.978339893309,-4038.046896349781,True,4.187905738942141e-12,0.005082563938675246,18,1095,False,True
16,14,-4277.528138447459,-4037.5996756194304,True,3.059822489828661e-13,0.3621261322621872,21,1095,True,True
9,2,-4182.244123821754,-4037.287344196487,True,7.410732715932269e-08,0.0005180433490167978,14,1095,False,True
12,16,-4266.947045478684,-4037.0156019351566,True,3.120934013053809e-11,0.012900396930523446,17,1095,False,True
11,17,-4266.938119974093,-4037.006676430565,True,1.165438626196727e-10,0.01426070039112012,16,1095,False,True
16,13,-4271.881184245058,-4036.9512310592795,True,1.6752901925886487e-11,0.30594487470769344,21,1095,True,True
11,2,-4191.649001034694,-4036.695202124926,True,8.219363485679688e-08,0.07823207514446526,16,1095,True,True
15,7,-4236.449860929003,-4036.509475238979,True,7.749358497602818e-06,0.10122726396137269,20,1095,True,True
18,11,-4270.711346168065,-4035.7813929822864,True,7.366592712132175e-11,0.283819552317142,23,1095,True,True
8,7,-4200.416968847068,-4035.4661506527987,True,2.964695140089999e-07,1.75788840409563e-07,14,1095,False,True
17,12,-4269.70105188116,-4034.771098695382,True,6.921911148845842e-12,0.29294881882163676,22,1095,True,True
18,9,-4259.665680398582,-4034.7327464973046,True,7.405623934085521e-09,0.14985876729912648,23,1095,True,True
8,17,-4249.374542074149,-4034.438627457373,True,1.2334967777972007e-10,5.040354925563e-06,14,1095,False,True
16,15,-4279.017181370632,-4034.0902089003525,True,9.226586573466253e-13,0.3887940685530784,21,1095,True,True
19,8,-4258.841911537065,-4033.9089776357882,True,3.884311124841733e-09,0.15342070488138224,24,1095,True,True
17,10,-4258.813130253617,-4033.8801963523397,True,1.245308757402735e-08,0.1179241484623441,22,1095,True,True
10,6,-4203.783551855286,-4033.8342240187653,True,4.029422773811852e-06,0.028588955781843717,15,1095,False,True
12,4,-4203.106080205138,-4033.1567523686176,True,6.606175566187852e-07,0.018485662915409668,17,1095,False,True
11,5,-4202.7763923638,-4032.82706452728,True,2.1393495486788225e-06,0.017992404010994847,16,1095,False,True
9,5,-4192.396355870319,-4032.4440473183,True,1.2388924308954798e-06,0.0005215707474234331,14,1095,False,True
9,19,-4262.182858091832,-4032.251414548304,True,1.0175495413879005e-12,0.001053543131166261,14,1095,False,True
15,16,-4277.166125747139,-4032.2391532768593,True,3.3829064318818807e-12,0.30407405463589326,20,1095,True,True
12,3,-4196.615512096926,-4031.6646939026564,True,8.505463918108669e-08,0.05505419197574134,17,1095,True,True
14,4,-4211.4808135539615,-4031.53446643294,True,1.6940119046611014e-06,0.08788506080022647,19,1095,True,True
11,18,-4266.441968804474,-4031.5120156186954,True,7.017658772254816e-13,0.012178760174920695,16,1095,False,True
10,19,-4266.362645795559,-4031.4326926097806,True,1.1782126043178581e-12,0.011218636199441587,15,1095,False,True
14,17,-4276.195849525402,-4031.2688770551226,True,2.0580213944482548e-11,0.23771366814190112,19,1095,True,True
13,16,-4266.148200965517,-4031.218247779739,True,8.001270903723733e-12,0.005992516760338668,18,1095,False,True
16,7,-4236.021875384355,-4031.08298005208,True,7.832333795990608e-06,0.05652729570194477,21,1095,True,True
17,14,-4275.5566242928035,-4030.629651822524,True,4.0099996492403374e-13,0.3719563277411458,22,1095,True,True
9,20,-4265.407399361835,-4030.4774461760567,True,1.8257852037930783e-13,0.0025521763953696317,14,1095,False,True
18,12,-4270.0088358653475,-4030.0803730373186,True,7.994900661856063e-12,0.27846082205366673,23,1095,True,True
17,13,-4269.958839308128,-4030.0303764800988,True,2.4241576044716864e-11,0.3240818336546236,22,1095,True,True
